School Name,Pincode,District
PADMAVANI HIGH SCHOOL,515401,Anantpur
APTWR SCHOOL FOR BOYS,515401,Anantpur
PRAGATHI JR COLLEGE,515401,Anantpur
SRI SAIRAM VIDYANIKETHAN,515455,Anantpur
CMR MEMORIAL SCHOOL,515405,Anantpur
ADARSHA VIDYA NIKETAN,515405,Anantpur
SRI SARASWATHI VIDYA NIKE,515405,Anantpur
"ADARSHA V.N. HS,P.VADUGUR",515405,Anantpur
"SREE SARASWATHI (EM AND TM) HIGH SCHOOL,PEDDAVADUGURU",515405,Anantpur
VIGNESH VIDYANIKETHAN,515405,Anantpur
SSV MANDIR RAYALACHERUVU,515455,Anantpur
VEDAVATHI E.M SCHOOL,515455,Anantpur
C.V.RAMANAREDDY E.M. PRIMARY SCHOOL,515455,Anantpur
C.V.RAMANAREDDY E.M. HIGHSCHOOL,515455,Anantpur
NEW VIKAS ENGLISH MEDIUM SCHOOL,515455,Anantpur
VAGDEVI PRIMARY SCHOOL,515408,Anantpur
PARADISE UPPER PRIMARY SC,515455,Anantpur
VAAGDEVI HS YADIKI,515408,Anantpur
SV PS YADIKI,515408,Anantpur
SV HS YADIKI,515408,Anantpur
VIGNAN CONVENT YADIKI,515408,Anantpur
SAI TEJA U.P.PUB.SCH,515408,Anantpur
SRI GOWTHAM PRIMARY SCHOOL,515408,Anantpur
GOWTHAM HIGH SCHOOL,515408,Anantpur
PARADISE HIGH SCHOOL,515408,Anantpur
"VEDAVATHI EM/TM HIGH SCHOOL, RAYALACHERUVU",515455,Anantpur
J.C.DIWAKAR REDDY JR.COLLEGE YADIKI,515408,Anantpur
VISION EM SCHOOL YADIKI,515408,Anantpur
VISION E.M HIGH SCHOOL,515408,Anantpur
PENNA ENGLISH MEDIUM SCHOOL,515408,Anantpur
PENNA E.M.HIGH SCHOOL,515408,Anantpur
PENNA UPS THALARICHERUVU,515415,Anantpur
PENNA EM HS,515415,Anantpur
BHAGAVAN SRI RAMANA MAHARSHI UP SCHOOL,515411,Anantpur
BHAVITHA EM PRIMARY SCHOOL,515411,Anantpur
BHAVITHA EM HIGH SCHOOL,515411,Anantpur
GOOD SHEPHEERD SCHOOL,515411,Anantpur
SRI SATHAVAHANA ELM SCHOO,515411,Anantpur
VISWESWARAIAH EMS,515411,Anantpur
RANGA ENGLISH MEDIUM SCHOOL,515411,Anantpur
SRI VANI EM TM HIGH SCHOOL,515411,Anantpur
VANI JUNIOR COLLEGE TADIPATRI ZERO ROAD,515411,Anantpur
SAI SRI EM PRIMARY SCHOOL,515411,Anantpur
SAI SRI EM HIGH SCHOOL,515411,Anantpur
LITTLE ROSES UP SCHOOL,515411,Anantpur
GOOD SHEPHERED EM HIGH SCHOOL,515411,Anantpur
GLOBAL E M SCHOOL TADIPATRI,515411,Anantpur
SIR C V RAMAN JR COLLEGE,515411,Anantpur
SRI VENKATESWARA JR COLLEGE,515411,Anantpur
NARAYANA JR. COLLEGE,515144,Anantpur
GURUKUL E.M SCHOOL TADIPATRI,515411,Anantpur
SRI PAVANI EM PRIMARY SCHOOL GANNEVARIPALLI COLONY,515411,Anantpur
PRAGATHI TM SCHOOL,515411,Anantpur
SRISAI TEJA SCHOOL,515411,Anantpur
SRI VIVEKANANDA,515411,Anantpur
SREE CHAITANYA EM S,515411,Anantpur
GOMATHY EM SCHOOL,515411,Anantpur
K.G.N MEMORIAL SCHOOL,515411,Anantpur
SREE BHASHYAM EM SCHOOL,515411,Anantpur
SREE SIVA SHANKAR EM SCHOOL,515411,Anantpur
NARAYANA CONCEPT SCHOOL,515411,Anantpur
SAI VIJETHA HIGH SCHOOL,515411,Anantpur
RAVINDRA BHARATHI SCHOOL,515411,Anantpur
SAI SIDDARTHA SCHOOL,515411,Anantpur
SAI CHAITANYA UP,515411,Anantpur
NATIONAL EM UPS SCHOOL,515411,Anantpur
INDIAN PUBLIC HIGH SCHOOOL,515411,Anantpur
PRASAD CONCEPT SCHOOL,515411,Anantpur
PRAGATHI HIGH SCHOOL,515411,Anantpur
SRI VASAVI VIDYANIKETHAN,515411,Anantpur
SRI SHATAVAHANA EM HS,515411,Anantpur
NARAYANA E TECHNO HS,515411,Anantpur
SRI CHAITANYA TECH HS,515411,Anantpur
MOURYA EM HS,515411,Anantpur
SURYA EM/TM HS,515411,Anantpur
SRI CHAINTANYA TECH PS,515411,Anantpur
NARAYANA E TECH PS,515411,Anantpur
NARAYANA CONCEPT,515411,Anantpur
SRI SAI TEJA HIGH SCHOOL,515411,Anantpur
J.C.N.R.M.JR.COLLEGE TADIPATRI,515411,Anantpur
SRI SAI SIDDARTHA JR COLLEGE,515411,Anantpur
SRI SAI JUNIOR COLLEGE,515411,Anantpur
SREE CHITANYA HS,515411,Anantpur
TARGET E/M HIGH SCHOOL,515411,Anantpur
RAVINDRA BHARATHI E/M HIGH SCHOOL,515411,Anantpur
VIKAS E/M HIGH SCHOOL,515411,Anantpur
SREE RAMA VIDYA MANDIR E/M P/S,515411,Anantpur
VISWESWARAIAH E/M PRIMARY SCHOOL,515411,Anantpur
PRASAD ENGLISH MEDIUM SCHOOL`,515411,Anantpur
GOWTHAM MODERN SCHOOL,515411,Anantpur
GOWTHAM MODERN SCHOOL,515411,Anantpur
SRI SARVEPALLI RADHA KRISHNAN EM SCHOOL,515411,Anantpur
SRI SARASWATHI SISU MADIRAM,515411,Anantpur
NATIONAL EM HIGH SCHOOL,515411,Anantpur
KGN MEMORIAL EM HIGH SCHOOL,515411,Anantpur
SRI NARAYANA EM UP SCHOOL G.V.P. COLONY,515411,Anantpur
SRI YOGANANDA EM PRIMARY SCHOOL,515411,Anantpur
PADMAVANI PRI SCHOOL .T/M,515411,Anantpur
CHRIST THE KING SCHOOL,515411,Anantpur
SRI VANI PRIMARY SCHOOL,515411,Anantpur
SRI AUROBINDO CENTENARY S,515411,Anantpur
SRI SAI VIJETHA ELESCH,515411,Anantpur
VIKAS SCHOOL,515411,Anantpur
SREE RAMA VIDYA MANDIR,515411,Anantpur
SRI LALBAHADUR SCHOOL,515411,Anantpur
RISHI VALLY UPS,515411,Anantpur
SRI RAVITEJA UPS,515411,Anantpur
SRI VASAVI VIDYANIKETHAN,515411,Anantpur
SRI AUROBINDO CENTENARY H,515411,Anantpur
PADMAVANI HS,515411,Anantpur
CHRIST THE KING HIGH SCHO,515411,Anantpur
OXFORD EM SCHOOL,515411,Anantpur
SURYA EM PRIMARY SCHOOL,515411,Anantpur
TARGET EM SCHOOL,515411,Anantpur
INDIAN PUBLIC SCHOOL,515411,Anantpur
MOURYA PRIMARY SCHOOL,515411,Anantpur
NARAYANA E.M. SCHOOLK.NARASAPURAM,515408,Anantpur
MOURYA UPS C.PAPPUR,515445,Anantpur
MOURYA EM TM SCHOOL,515445,Anantpur
SREE SAIRAM EM SCHOOL,515445,Anantpur
